Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
7,7,2013,16,16,44,BEG,6.04,24,3.97,Flag,15,22,13,3,1,0,0,0,0,25,1,2,23,1,1,2,1,643,13,14
7,7,2013,16,17,18,BEG,5.68,23,4.04,Flag,11,32,10,1,0,0,0,0,0,15,3,4,13,3,4,2,4,668,13,15
7,7,2013,16,17,33,BEG,5.57,19,3.41,Flag,15,27,10,1,1,0,0,0,0,20,1,2,19,1,2,2,4,959,16,17
7,7,2013,16,17,39,BEG,4.20,10,2.38,NF,25,14,11,3,1,0,0,0,0,17,0,0,15,0,0,2,3,565,10,10
7,7,2013,16,17,50,BEG,3.79,11,2.90,Flag,23,14,11,4,2,0,0,0,0,14,1,1,13,1,1,2,3,595,11,11
7,7,2013,16,17,58,BEG,3.75,13,3.46,Flag,22,16,9,6,1,0,0,0,0,13,1,3,12,1,3,3,1,515,10,13
7,7,2013,16,18,10,BEG,3.78,12,3.17,Flag,19,25,9,1,0,0,0,0,0,11,2,3,9,2,3,3,3,483,10,10
7,7,2013,16,18,17,BEG,2.71,7,2.58,Flag,22,27,4,1,0,0,0,0,0,7,1,1,6,1,1,2,3,535,7,7
7,7,2013,16,18,37,BEG,6.67,26,3.89,Flag,12,23,16,3,0,0,0,0,0,27,1,1,26,1,1,2,2,882,19,20
7,7,2013,16,19,12,BEG,4.65,12,2.58,Flag,18,16,19,1,0,0,0,0,0,14,1,2,13,1,2,3,3,717,9,12
7,7,2013,16,19,26,BEG,6.65,28,4.21,Flag,11,27,12,4,0,0,0,0,0,22,3,3,21,3,3,2,3,911,17,19
7,7,2013,16,19,44,BEG,5.20,10,1.92,Flag,20,22,7,4,0,1,0,0,0,9,3,5,8,3,4,3,2,680,9,9
7,7,2013,16,19,54,BEG,4.17,15,3.59,Flag,19,28,6,0,1,0,0,0,0,8,3,3,7,3,3,1,5,540,13,12
7,7,2013,16,20,34,BEG,5.01,20,3.99,Flag,18,21,13,2,0,0,0,0,0,21,1,1,20,1,1,2,3,694,13,14
7,7,2013,16,20,51,BEG,2.23,6,2.69,Flag,26,16,9,1,2,0,0,0,0,7,1,1,6,1,1,2,3,277,6,6
7,7,2013,16,21,3,BEG,3.56,11,3.08,NF,19,21,8,6,0,0,0,0,0,15,0,0,14,0,0,2,6,501,11,11
7,7,2013,16,21,15,BEG,6.79,18,2.65,Flag,11,28,12,3,0,0,0,0,0,27,1,3,23,1,3,5,5,932,15,15
7,7,2013,20,5,59,BEG,3.67,13,3.54,NF,21,18,13,2,0,0,0,0,0,17,0,0,15,0,0,2,2,581,10,11
7,7,2013,20,6,14,BEG,6.36,19,2.98,NF,15,25,12,2,0,0,0,0,0,28,0,0,26,0,0,3,2,723,13,16
7,7,2013,20,6,24,BEG,3.34,14,4.19,NF,18,23,11,2,0,0,0,0,0,15,0,0,14,0,0,1,4,512,9,11
7,7,2013,20,6,56,BEG,4.88,18,3.68,NF,23,14,11,4,2,0,0,0,0,21,0,0,20,0,0,2,2,711,14,16
7,7,2013,20,8,4,BEG,4.45,15,3.37,NF,18,19,13,2,2,0,0,0,0,21,0,0,19,0,0,3,5,699,14,15
7,7,2013,20,8,19,BEG,5.96,25,4.19,NF,12,24,16,2,0,0,0,0,0,30,0,0,28,0,0,2,5,822,20,19
